CountryCode,SeriesCode,DESCRIPTION
"BDI","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BDI","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"BDI","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BDI","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BDI","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BDI","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BDI","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BDI","IT.NET.USER.ZS","Until 2001: Office National des Télécommunications (ONATEL). Agence de Régulation et de Contrôle des Télécommunications."
"BEL","SP.DYN.LE00.MA.IN","Data source: Eurostat, Statistics Belgium"
"BEL","SP.DYN.CDRT.IN","Data source: Eurostat, Statistics Belgium"
"BEL","IT.NET.USER.ZS","Institut belge des services postaux et des télécommunications (IBPT)."
"BEL","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"BEL","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"BEL","VC.IHR.PSRC.P5","Data refer to offences, not victims, of intentional homicide."
"BEL","SP.DYN.CBRT.IN","Data source: Eurostat, Statistics Belgium"
"BEL","SP.POP.TOTL","Data source: Eurostat"
"BEL","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"BEL","SP.DYN.TFRT.IN","Data source: Eurostat, Statistics Belgium"
"BEL","SP.DYN.LE00.FE.IN","Data source: Eurostat, Statistics Belgium"
"BEL","SP.DYN.LE00.IN","Derived using male and female life expectancy"
"BEN","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BEN","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BEN","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BEN","IT.NET.USER.ZS","Office des Postes et Télécommunications (OPT)."
"BEN","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BEN","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BEN","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"BEN","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BEN","SG.POP.MIGR.FE.ZS","Estimates were derived from data on foreign citizens. Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"BEN","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BEN","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BFA","IT.NET.USER.ZS","Office National des Télécommunications (ONATEL). 1997-2000: Direction Générale de l'Office National des Télécommunications."
"BFA","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BFA","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"BFA","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BFA","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BFA","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"BFA","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BFA","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BFA","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BFA","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BFA","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BGD","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"BGD","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BGD","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BGD","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BGD","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"BGD","SG.GEN.PARL.ZS","In 2004, the number of seats in parliament was raised from 300 to 345, with the addition of 45 reserved seats for women. These reserved seats were filled in September and October 2005, being allocated to political parties in proportion to their share of the national vote received in the 2001 election. 
The parliament was dissolved on 27 October 2006, in view of elections that are yet to take place. Women held 52 of the 345 seats (15%) in the outgoing parliament. 
45 reserved seats reserved for women are yet to be filled in 2008."
"BGD","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BGD","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BGD","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BGD","IT.NET.USER.ZS","Bangladesh Telegraph and Telephone Board. From 2002: Bangladesh Telecommunication Regulatory Commission."
"BGD","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BGD","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BGR","SP.DYN.LE00.FE.IN","Data source: Eurostat, National Statistical Institute"
"BGR","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"BGR","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"BGR","SP.DYN.CDRT.IN","Data source: Eurostat, National Statistical Institute"
